"Path","Name","SHA","Size","Type","URL","DownloadURL","HtmlURL"
"CD/.keep",".keep","945c9b46d684f08ec84cb316e1dc0061e361f794","1","file","https://api.github.com/repos/davegulliksen/cd-catalog/contents/CD/.keep?ref=main","https://raw.githubusercontent.com/davegulliksen/cd-catalog/main/CD/.keep","https://github.com/davegulliksen/cd-catalog/blob/main/CD/.keep"
"CD/23469/23469 disc.jpg","23469 disc.jpg","30d74d258442c7c65512eafab474568dd706c430","4","file","https://api.github.com/repos/davegulliksen/cd-catalog/contents/CD/23469/23469%20disc.jpg?ref=main","https://raw.githubusercontent.com/davegulliksen/cd-catalog/main/CD/23469/23469%20disc.jpg","https://github.com/davegulliksen/cd-catalog/blob/main/CD/23469/23469%20disc.jpg"
"CD/23469/23469 insert outside.jpg","23469 insert outside.jpg","49dbf3ed6a08e0204aba734fb09cbc997d588027","2450782","file","https://api.github.com/repos/davegulliksen/cd-catalog/contents/CD/23469/23469%20insert%20outside.jpg?ref=main","https://raw.githubusercontent.com/davegulliksen/cd-catalog/main/CD/23469/23469%20insert%20outside.jpg","https://github.com/davegulliksen/cd-catalog/blob/main/CD/23469/23469%20insert%20outside.jpg"
"CD/<album>/<file.jpg>","<file.jpg>","30d74d258442c7c65512eafab474568dd706c430","4","file","https://api.github.com/repos/davegulliksen/cd-catalog/contents/CD/%3Calbum%3E/%3Cfile.jpg%3E?ref=main","https://raw.githubusercontent.com/davegulliksen/cd-catalog/main/CD/%3Calbum%3E/%3Cfile.jpg%3E","https://github.com/davegulliksen/cd-catalog/blob/main/CD/%3Calbum%3E/%3Cfile.jpg%3E"
